seed,lambda,mu
0,192,161
1,96,56
2,96,197
3,192,189
4,96,56
5,192,78
6,96,72
7,112,375
8,64,394
9,96,112
10,128,474
11,192,60
12,96,184
13,192,79
14,112,778
15,192,138
16,192,161
17,96,56
18,96,197
19,192,189
20,96,56
21,192,78
22,96,72
23,112,375
24,64,394
25,96,112
26,128,474
27,192,60
28,96,184
29,192,79
30,112,778
31,192,138
32,192,161
33,96,56
34,96,197
35,192,189
36,96,56
37,192,78
38,96,72
39,112,375
40,64,394
41,96,112
42,128,474
43,192,60
44,96,184
45,192,79
46,112,778
47,192,138
48,192,161
49,96,56
