seed,lambda,mu
0,512,5892
1,512,7684
2,6144,2276
3,512,6660
4,512,3076
5,512,3024
6,512,5892
7,6144,74
8,512,4356
9,6144,163
10,512,5892
11,6144,637
12,6144,1181
13,512,2512
14,512,2564
15,512,5636
16,512,5380
17,512,7172
18,512,4868
19,512,6148
20,512,4868
21,512,4100
22,512,6660
23,512,4868
24,6144,2532
25,512,5892
26,512,7684
27,512,2564
28,512,7940
29,512,6660
30,512,5380
31,512,5892
32,512,4612
33,6144,108
34,512,1540
35,512,6916
36,512,4868
37,512,3076
38,512,7428
39,512,2768
40,512,7684
41,512,4612
42,512,5380
43,512,4100
44,512,5636
45,512,5124
46,512,3844
47,512,7172
48,512,5124
49,512,5380
50,512,3844
51,512,4868
52,512,3076
53,512,6404
54,6144,2532
55,512,5636
56,512,4612
57,6144,669
58,512,5892
59,512,7940
60,512,3588
61,512,3844
62,512,3024
63,512,4612
64,512,6660
65,512,2768
66,512,3844
67,512,3332
68,512,3076
69,512,5892
70,6144,153
71,6144,153
72,512,3076
73,6144,443
74,512,4612
75,512,6660
76,6144,1764
77,512,3332
78,512,7172
79,512,4100
80,512,5636
81,512,5892
82,512,6660
83,512,4612
84,512,2768
85,6144,744
86,6144,381
87,512,6404
88,512,7684
89,512,7684
90,512,7684
91,512,7684
92,512,7684
93,512,3588
94,512,5380
95,512,3332
96,512,5380
97,6144,3
98,512,3844
99,512,7172
100,512,3588
101,512,6660
102,512,3792
103,512,1796
104,6144,1181
105,6144,381
106,6144,87
107,6144,566
108,512,2820
109,512,2820
110,512,6916
111,6144,1181
112,6144,153
113,512,6916
114,6144,720
115,512,5124
116,6144,443
117,512,7940
118,512,6916
119,512,7172
120,512,7940
121,6144,87
122,512,4356
123,512,3332
124,6144,637
125,512,4100
126,512,4048
127,512,3844
128,512,3280
129,512,1028
130,512,3076
131,512,3076
132,512,5380
133,512,2512
134,512,5892
135,6144,2532
136,512,6404
137,512,5380
138,6144,292
139,512,4612
140,512,8196
141,512,7940
142,512,6660
143,512,5636
144,512,4356
145,6144,566
146,512,5636
147,512,5892
148,512,7684
149,512,5892
150,512,7428
151,512,5636
152,512,4100
153,512,3024
154,6144,2276
155,512,4612
156,6144,443
157,512,2820
158,512,4100
159,512,3280
160,512,4868
161,512,3332
162,512,5380
163,512,5636
164,512,5892
165,512,5124
166,6144,1437
167,512,4868
168,512,5636
169,512,3076
170,6144,163
171,512,3844
172,6144,484
173,512,3844
174,512,2512
175,512,4612
176,512,5380
177,512,2768
178,512,2564
179,512,208
180,512,6660
181,512,4356
182,6144,74
183,6144,484
184,512,6660
185,6144,744
186,512,6148
187,512,4100
188,512,3332
189,512,5124
190,512,5892
191,512,5380
192,6144,413
193,6144,1437
194,512,5124
195,6144,108
196,512,7172
197,512,6148
198,512,2820
199,512,2820
200,512,5636
201,512,7940
202,512,6660
203,512,3076
204,512,4868
205,512,1028
206,512,1796
207,512,5380
208,512,6916
209,512,5892
210,512,5380
211,512,6660
212,512,7428
213,512,3332
214,512,2820
215,512,4612
216,6144,2276
217,512,5636
218,512,5380
219,512,2768
220,512,3536
221,512,4612
222,512,5636
223,6144,2532
224,512,3588
225,512,5636
226,512,5380
227,512,4612
228,512,6148
229,512,6916
230,512,3332
231,512,7172
232,512,2564
233,512,7684
234,6144,108
235,512,3076
236,6144,153
237,6144,381
238,512,7684
239,512,2564
240,512,7172
241,512,5636
242,512,1284
243,512,6660
244,512,8196
245,512,5892
246,512,4612
247,6144,566
248,512,5892
249,6144,108
250,512,6404
251,512,3588
252,512,4612
253,512,3588
254,512,7172
255,512,5380
256,512,5892
257,512,7684
258,6144,2276
259,512,6660
260,512,3076
261,512,3024
262,512,5892
263,6144,74
264,512,4356
265,6144,163
266,512,5892
267,6144,637
268,6144,1181
269,512,2512
270,512,2564
271,512,5636
272,512,5380
273,512,7172
274,512,4868
275,512,6148
276,512,4868
277,512,4100
278,512,6660
279,512,4868
280,6144,2532
281,512,5892
282,512,7684
283,512,2564
284,512,7940
285,512,6660
286,512,5380
287,512,5892
288,512,4612
289,6144,108
290,512,1540
291,512,6916
292,512,4868
293,512,3076
294,512,7428
295,512,2768
296,512,7684
297,512,4612
298,512,5380
299,512,4100
