seed,lambda,mu
0,33536,1
1,200448,1
2,200448,1
3,33536,1
4,200448,1
5,5632,1
6,200448,1
7,200448,1
8,200448,1
9,200448,1
10,200448,1
11,200448,1
12,200448,1
13,200448,1
14,137984,1
15,137984,1
16,5632,1
17,33536,1
18,33536,0
19,200448,1
20,200448,1
21,33536,1
22,33536,1
23,33536,1
24,33536,1
25,200448,1
26,200448,1
27,200448,1
28,200448,1
29,200448,1
30,200448,1
31,200448,1
32,200448,1
33,200448,1
34,200448,1
35,200448,1
36,200448,1
37,200448,1
38,200448,1
39,33536,1
40,137984,1
41,200448,1
42,200448,1
43,200448,1
44,200448,1
45,33536,1
46,200448,1
47,137984,1
48,33536,1
49,137984,1
50,200448,1
51,5632,1
52,200448,1
53,200448,1
54,200448,1
55,200448,1
56,200448,1
57,137984,1
58,200448,1
59,200448,1
60,33536,1
61,33536,1
62,200448,1
63,200448,1
64,200448,1
65,200448,1
66,200448,1
67,200448,1
68,200448,1
69,137984,1
70,137984,1
71,137984,1
72,200448,1
73,5632,1
74,200448,1
75,200448,1
76,200448,1
77,200448,1
78,137984,1
79,200448,1
80,137984,1
81,200448,1
82,200448,1
83,200448,1
84,200448,1
85,200448,1
86,200448,1
87,200448,1
88,200448,1
89,200448,1
90,33536,1
91,137984,1
92,4352,1
93,137984,1
94,200448,1
95,33536,1
96,33536,1
97,200448,1
98,200448,1
99,33536,1
100,200448,1
101,33536,1
102,200448,1
103,200448,1
104,200448,1
105,5632,1
106,200448,1
107,200448,1
108,200448,1
109,137984,1
110,200448,1
111,200448,1
112,137984,1
113,200448,1
114,200448,1
115,33536,1
116,137984,1
117,200448,1
118,200448,1
119,200448,1
120,200448,1
121,200448,1
122,137984,1
123,4352,1
124,200448,1
125,137984,1
126,33536,1
127,137984,1
128,200448,1
129,200448,1
130,33536,1
131,200448,1
132,33536,1
133,137984,1
134,33536,1
135,200448,1
136,5632,1
137,4352,1
138,4352,1
139,200448,1
140,33536,1
141,200448,1
142,33536,1
143,200448,1
144,200448,1
145,4352,1
146,200448,1
147,200448,1
148,200448,1
149,200448,1
150,33536,1
151,137984,1
152,200448,1
153,137984,1
154,33536,1
155,33536,1
156,200448,1
157,33536,1
158,137984,1
159,200448,1
160,5632,1
161,33536,1
162,200448,1
163,33536,1
164,137984,1
165,33536,1
166,200448,1
167,200448,1
168,137984,1
169,200448,1
170,200448,1
171,200448,1
172,200448,1
173,200448,1
174,200448,1
175,137984,1
176,200448,1
177,200448,1
178,200448,1
179,200448,1
180,200448,1
181,200448,1
182,200448,1
183,200448,1
184,200448,1
185,200448,1
186,200448,1
187,200448,1
188,200448,1
189,137984,1
190,200448,1
191,137984,1
192,200448,1
193,200448,1
194,200448,1
195,137984,1
196,200448,1
197,137984,1
198,200448,1
199,200448,1
200,137984,1
201,200448,1
202,33536,1
203,137984,1
204,200448,1
205,5632,1
206,200448,1
207,137984,1
208,200448,1
209,200448,1
210,200448,1
211,33536,1
212,200448,1
213,200448,1
214,200448,1
215,4352,1
216,4352,1
217,200448,1
218,5632,1
219,137984,1
220,200448,1
221,200448,1
222,137984,1
223,200448,1
224,200448,1
225,200448,1
226,33536,1
227,33536,1
228,200448,1
229,33536,1
230,5632,1
231,200448,1
232,200448,1
233,137984,1
234,33536,1
235,200448,1
236,200448,1
237,33536,1
238,200448,1
239,200448,1
240,5632,1
241,200448,1
242,200448,1
243,137984,1
244,5632,1
245,200448,1
246,200448,1
247,200448,1
248,5632,1
249,200448,1
250,4352,1
251,137984,1
252,200448,1
253,137984,1
254,4352,1
255,200448,1
256,33536,1
257,200448,1
258,200448,1
259,33536,1
260,200448,1
261,5632,1
262,200448,1
263,200448,1
264,200448,1
265,200448,1
266,200448,1
267,200448,1
268,200448,1
269,200448,1
270,137984,1
271,137984,1
272,5632,1
273,33536,1
274,33536,0
275,200448,1
276,200448,1
277,33536,1
278,33536,1
279,33536,1
280,33536,1
281,200448,1
282,200448,1
283,200448,1
284,200448,1
285,200448,1
286,200448,1
287,200448,1
288,200448,1
289,200448,1
290,200448,1
291,200448,1
292,200448,1
293,200448,1
294,200448,1
295,33536,1
296,137984,1
297,200448,1
298,200448,1
299,200448,1
